"id_category";"title";"description";"image";"total_interest";"total_post";"total_like";"total_trivia";"flag";"status";"date_created";"date_updated";"id_category_up";"private";"group";"latitude";"location";"id_owner";"fun";"subscribe_fcm";"lat";"lng";"country"
164;"Bears";" Ours. Osos. And those who like them. Et ceux qui les aiment. Y a los que les gustan.";"https://hobbies.fboys.app/upload/assets/categs/bear.jpg";3;0;0;0;1;0;"2022-03-22 16:17:32";"2022-03-23 10:11:21";136;0;1;"";"";1;1;"";0.0;0.0;"FR"
165;"Hairy";"Poilu. Peludo.  And those who like them. Et ceux qui les aiment. Y a los que les gustan.";"https://hobbies.fboys.app/upload/assets/categs/hairy.jpg";3;0;0;0;1;0;"2022-03-22 16:18:46";"2022-03-26 11:35:13";136;0;1;"";"";1;1;"";0.0;0.0;"FR"
166;"Muscle";"Musclé. Músculoso.And those who like them. Et ceux qui les aiment. Y a los que les gustan.";"https://hobbies.fboys.app/upload/assets/categs/muscle.jpg";16;0;0;0;1;0;"2022-03-22 16:21:28";"2022-03-23 10:10:00";136;0;1;"";"";1;1;"";0.0;0.0;"FR"
167;"Bottoms";"Only bottoms. Seulement passifs. Sólo Pasivos.";"https://hobbies.fboys.app/upload/assets/categs/powerbottom.gif";127;1;1;0;1;0;"2022-03-22 16:27:59";"2022-04-30 19:15:43";134;0;1;"";"";1;1;"";0.0;0.0;"FR"
168;"Tops";"Only for tops. Seulement actifs. Sólo activos.";"https://hobbies.fboys.app/upload/assets/categs/top.jpg";163;2;3;0;1;0;"2022-03-22 16:30:37";"2022-05-02 07:32:28";134;0;1;"";"";1;1;"";0.0;0.0;"FR"
169;"TZ Paris";"Groupe de touzes en apparts privés.";"https://hobbies.fboys.app/upload/assets/categs/tz_paris_short.jpg";82;1;11;0;1;0;"2022-03-22 16:41:31";"2022-04-12 23:01:09";130;1;1;"";"";391;1;"";0.0;0.0;"FR"
170;"TZ du soir";"Touzes Afterwork sur les Champs-Elysées. Black, Beur, viril bienvenus";"https://hobbies.fboys.app/upload/assets/categs/champs.jpg";67;5;7;0;1;0;"2022-03-22 16:43:40";"2022-04-12 22:55:56";130;1;1;"";"";391;1;"";0.0;0.0;"FR"
171;"Friends";"Amitiés. Amistad.";"https://hobbies.fboys.app/upload/assets/categs/friends.jpg";10;1;0;0;1;1;"2022-03-22 16:58:02";"2022-03-24 10:41:08";103;0;1;"";"";1;0;"";0.0;0.0;"FR"
172;"Relationship";"Relation. En pareja. Looking for  charming prince. A la recherche du prince charmant. Mi príncipe azul.";"https://hobbies.fboys.app/upload/assets/categs/husband.jpg";11;1;0;0;1;1;"2022-03-22 22:33:07";"2022-05-23 16:31:53";135;0;1;"";"";1;0;"";0.0;0.0;"FR"
173;"XL";"XL and those who like them";"https://hobbies.fboys.app/upload/assets/categs/xl.jpg";8;0;0;0;1;0;"2022-03-23 10:48:15";"2022-03-26 11:34:26";136;0;1;"";"";1;1;"";0.0;0.0;"FR"
174;"International rights";"Droits internationaux. Derechos para todos.";"https://hobbies.fboys.app/upload/assets/categs/international_rights.png";10;0;0;0;1;1;"2022-03-23 11:15:41";"2022-03-23 11:15:56";119;0;1;"";"";1;0;"";0.0;0.0;"FR"
175;"Yoga";"Yoga";"https://hobbies.fboys.app/upload/assets/categs/yoga.jpg";5;0;0;0;1;1;"2022-03-23 11:24:36";"2022-03-23 11:24:36";102;0;1;"";"";1;0;"";0.0;0.0;"FR"
176;"Tantra";"Tantra";"https://hobbies.fboys.app/upload/assets/categs/tantra.jpg";18;0;0;0;1;1;"2022-03-23 11:37:30";"2022-03-26 11:34:18";102;0;1;"";"";1;0;"";0.0;0.0;"FR"
177;"Jogging";"Courir. Correr";"https://hobbies.fboys.app/upload/assets/categs/run.PNG";12;1;0;0;1;1;"2022-03-23 11:47:11";"2022-05-31 11:48:31";117;0;1;"";"";1;0;"";0.0;0.0;"FR"
179;"Massages";"Masajes";"https://hobbies.fboys.app/upload/assets/categs/massages.PNG";43;1;0;0;1;1;"2022-04-10 09:57:59";"2022-06-11 11:12:18";102;0;1;"";"";1;0;"";0.0;0.0;"FR"
180;"Religion";"Réligion. Religión";"https://hobbies.fboys.app/upload/assets/categs/spiritual.jpg";4;0;0;0;1;1;"2022-04-10 10:01:25";"2022-04-10 10:01:52";102;0;1;"";"";1;0;"";0.0;0.0;"FR"
